stop_id,stop_name,latitude,longitude
812184,Harbor St & 10th St,38.026283,-121.878767
812197,East 10th St & Los Medanos St,38.027265,-121.882841
812204,Railroad Ave & Central Ave,38.025058,-121.886408
812215,Railroad Ave & School St,38.021297,-121.887587
812227,Civic Ave & Railroad Ave,38.020857,-121.889538
812243,17th West St & Bruno Ave,38.022509,-121.896184
812262,Andrew Ave & Power Ave,38.020138,-121.899278
812270,Power Ave & Jorgensen Dr,38.021323,-121.903544
812289,Power Ave & Case Dr,38.022271,-121.90568
812291,Polaris Dr & Brickyard Ave,38.023167,-121.911356
812301,Polaris Dr & East Catamaran Cir,38.023146,-121.915093
812317,Polaris Dr & Range Rd,38.023161,-121.917789
812364,Willow Pass Rd & Balclutha Wy,38.026675,-121.923713
812372,Willow Pass Rd & Loftus Rd,38.026674,-121.927778
812386,Willow Pass Rd & Winter Wy,38.026709,-121.930857
812408,Willow Pass Rd & Bella Vista Ave,38.026678,-121.934048
812412,Willow Pass Rd & Poinsettia Ave,38.026676,-121.938908
812431,Bailey Rd & Canal Rd,38.021004,-121.941729
812483,West Leland Rd & Oak Hills Dr,38.015432,-121.943492
812505,Bailey Rd & Canal Rd,38.020849,-121.94203
812514,Bailey Rd & Mary Ann Ln,38.024632,-121.942064
812522,Willow Pass Rd & Nth Broadway Ave,38.02686,-121.940606
812533,Willow Pass Rd & Madison Ave,38.026849,-121.936898
812546,Willow Pass Rd & Crivello Ave,38.026858,-121.933621
812551,Willow Pass Rd & Seasons Dr,38.026891,-121.928779
812567,Willow Pass Rd & Balclutha Wy,38.026826,-121.923242
812579,Polaris Dr & Range Rd,38.023346,-121.917617
812580,Polaris Dr & East Catamaran Cir,38.02332,-121.915079
812598,Polaris Dr & Brickyard Ave,38.023331,-121.910361
812624,17th West St & Bruno Ave,38.022601,-121.896068
812630,Civic Ave & Davi Ave,38.02157,-121.891523
812648,Civic Ave & Railroad Ave,38.021081,-121.889472
812653,Railroad Ave & Bliss Ave,38.015989,-121.889641
812669,Railroad Ave & East Leland Rd,38.013312,-121.890655
812676,Railroad Ave & Alvarado Ave,38.010761,-121.891634
812682,Atlantic Ave & Atlantic Cir,38.007997,-121.891395
812695,Harbor St & Presidio Ln,38.009195,-121.887161
812719,Harbor St & Garcia Ave,38.012474,-121.885707
812735,Bliss Ave & Harbor St,38.014867,-121.886206
812742,Harbor St & East Leland Rd,38.011448,-121.885801
812761,Atlantic Ave & Atlantic Cir,38.007997,-121.888573
812774,Atlantic Ave & Atlantic Cir,38.007693,-121.890825
812788,Railroad Ave & West Leland Rd,38.011707,-121.8916
812790,Railroad Ave & Bliss Ave,38.015251,-121.890245
812800,Railroad Ave & East 17th St,38.021828,-121.887677
812816,Railroad Ave & Central Ave,38.024973,-121.886744
812828,East 10th St & Los Medanos St,38.02755,-121.883331
812837,Harbor St & East 10th St,38.026358,-121.878432
812844,Harbor St & East 12th St,38.024598,-121.878977
812859,East 12th St & Pine St,38.023579,-121.87655
812863,East 12th St & Columbia St,38.022573,-121.872916
812871,Columbia St & East 14th St,38.020113,-121.873553
812885,Pittsburg Antioch Hwy & Loveridge Rd,38.015361,-121.860508
812892,Loveridge Rd & California Ave,38.012635,-121.864151
812902,Loveridge Rd & Hwy 4,38.011095,-121.868197
812925,East Leland Rd & Loveridge Rd,38.008081,-121.869694
812939,East Leland Rd & Gladstone Dr,38.008534,-121.865642
812956,Delta Fair Blvd & Belle Dr,38.006108,-121.854058
812960,Delta Fair Blvd & School St,38.003769,-121.850018
812987,Delta Fair Blvd & Kaiser,38.004146,-121.842735
812994,Auto Center Dr & Century Blvd,38.00634,-121.834819
813017,Sycamore Dr & Canal,38.005733,-121.830889
813029,Sycamore Dr & Spanos St,38.005404,-121.827796
813038,Sycamore Dr & Banyan Wy,38.005077,-121.825446
813040,Sycamore Dr & Peppertree Wy,38.004223,-121.821432
813055,L St & West 18th St,38.005036,-121.819938
813064,L St & West 9th St,38.011654,-121.819898
813072,L St & West 5th St,38.01511,-121.819894
813086,West 4th St & J St,38.015539,-121.817777
813093,West 4th St & H St,38.01554,-121.815392
813103,West 6th St & B St,38.014106,-121.807409
813119,A St & West 6th St,38.013776,-121.806125
813135,A St & East 19th St,38.00407,-121.805909
813157,A St & East 13th St,38.008782,-121.805925
813161,A St & East 16th St,38.006161,-121.805918
813174,Hillcrest Ave & Country Hills Dr,37.966083,-121.760159
813188,Hillcrest Ave & Sterling Hill Dr,37.97071,-121.760945
813208,Hillcrest Ave & Golden Bear Dr,37.977018,-121.762877
813212,Hillcrest Ave & Bellflower Dr,37.983115,-121.770023
813220,Hillcrest Ave & Wild Horse Rd,37.981534,-121.76604
813249,Hillcrest Ave & Via Dora Dr,37.983098,-121.772853
813254,Hillcrest Ave & Wildflower Dr,37.987003,-121.780357
813265,Wildflower Dr & Deer Valley Rd,37.986848,-121.784705
813296,East 18th St & Hargrove St,38.004998,-121.782936
813306,East 18th St & St Claire Dr,38.005017,-121.778751
813323,East 18th St & Viera Ave,38.005056,-121.773172
813347,East 18th St & Wilson St,38.005071,-121.765062
813352,East 18th St & Drive In Way,38.005247,-121.756023
813436,A St & Belshaw St,38.000477,-121.805868
813443,Deer Valley Rd & Prewett Ranch Dr,37.957745,-121.77811
813462,Lone Tree Wy & East Tregallas Rd,37.995819,-121.806537
813470,Lone Tree Wy & Worrell Rd,37.994044,-121.807697
813489,Lone Tree Wy & Walton Ln,37.991451,-121.807558
813491,Lone Tree Wy & Clearbrook Rd,37.987631,-121.806733
813502,Lone Tree Wy & Sunset Ln,37.985489,-121.805757
813518,Lone Tree Wy & Sutter Delta,37.982628,-121.805496
813525,Lone Tree Wy & Bluerock Dr,37.977616,-121.802896
813539,Lone Tree Wy & Eagleridge Dr,37.971399,-121.795931
813541,Lone Tree Wy & Muirwood Wy,37.970022,-121.791272
813556,Lone Tree Wy & Country Hills Dr,37.968447,-121.786546
813560,Lone Tree Wy & Deer Valley Rd,37.966339,-121.781001
813587,Deer Valley Rd & Kaiser,37.951553,-121.778018
813594,Sand Creek Rd & Deer Valley Rd,37.94952,-121.775722
813600,West 10th St & Verne Roberts Cir,38.012408,-121.830614
813628,Main St & Teakwood Dr,37.997942,-121.726598
813637,Main St & Teakwood Dr,37.997717,-121.725735
813644,Main St & Empire Ave,37.997839,-121.730492
813659,Empire Ave & Sauterne Wy,37.992385,-121.732237
813663,Buchanan Rd & Suzanne Dr,37.998052,-121.880624
813692,West Cypress Rd & Lorenzetti Dr,37.990489,-121.722039
813709,West Cypress Rd & Ponderosa Wy,37.990492,-121.726768
813713,West Cypress Rd & Ohara Ave,37.990606,-121.713793
813721,West Cypress Rd & Orchard Prk Dr,37.990624,-121.711095
813732,West Cypress Rd & Rose Ave,37.990646,-121.704777
813745,West Cypress Rd & Mellowood Dr,37.99067,-121.69992
813750,Ohara Ave & Atherton Blvd,37.967839,-121.713914
813766,Lone Tree Wy & Giannini Rnch,37.961474,-121.729846
813778,Lone Tree Wy & Empire Ave,37.961448,-121.731749
813784,Lone Tree Wy & Shady Willow Ln,37.96145,-121.737252
813797,Lone Tree Wy & Canada Valley Rd,37.961497,-121.748934
813807,Lone Tree Wy & Vista Grande Dr,37.961587,-121.754435
813811,Lone Tree Wy & Hillcrest Ave,37.96158,-121.758896
813824,Lone Tree Wy & Indian Hill Dr,37.961712,-121.764053
813830,Lone Tree Wy & Sagebrush Dr,37.963572,-121.771898
813848,Buchanan Rd & Santa Ana Dr,37.998055,-121.883443
813853,Buchanan Rd & Harbor St,37.998042,-121.887675
813895,Railroad Ave & Yosemite Dr,38.005689,-121.893743
813905,Railroad Ave & Sequoia Dr,38.001945,-121.895183
813933,Buchanan Rd & Inverness Dr,37.99789,-121.882025
813979,Alhambra Ave & Walnut Ave,37.992253,-122.130843
813998,Muir Rd & Roman Wy,37.994576,-122.10983
814069,Loveridge Rd & Delta Deanza Trail,38.005277,-121.871854
814244,Shady Willow Ln & Las Montanas Ct,37.947613,-121.735486
814259,Bailey Rd & Maylard St,38.017257,-121.941809
814263,East Leland Rd & Railroad Ave,38.012154,-121.890473
814271,James Donlon Blvd & Contra Loma Blvd,37.98197,-121.824916
814285,East Tregallas Rd & Harbour Dr,37.996838,-121.79145
814292,Wharf Dr & Shore Dr,38.039856,-121.975999
814302,Hillcrest Ave & Yellowstone Dr,38.003281,-121.787641
814318,Buchanan Rd & Somersville Rd,37.997873,-121.845605
814325,Buchanan Rd & Gentrytown Dr,37.99866,-121.836594
814421,Loveridge Rd & Loveridge Cir,38.007573,-121.871291
814445,East Leland Rd & Piedmont Wy,38.009393,-121.875367
814450,East Leland Rd & Freed Wy,38.009728,-121.8803
814466,East Leland Rd & Harbor St,38.011206,-121.886528
814484,West Leland Rd & Crestview Dr,38.014027,-121.896683
814497,West Leland Rd & Burton Ave,38.015177,-121.900342
814506,West Leland Rd & Dover Wy,38.016345,-121.905133
814510,West Leland Rd & Range Rd,38.014032,-121.912547
814523,West Leland Rd & John Henry Johnson Pky,38.013716,-121.918195
814534,West Leland Rd & Sugartree Dr,38.015198,-121.92605
814547,East Leland Rd & Stoneridge Dr,38.0092,-121.879112
814552,East Leland Rd & Dias Cir,38.008848,-121.873939
814568,Muir Rd & Veterans Dr,37.994118,-122.114444
814575,Arnold Dr & Starflower Dr,37.994533,-122.078853
814599,Alhambra Ave & Walnut Ave,37.992447,-122.130639
814608,West Leland Rd & Jacqueline Dr,38.0156,-121.928571
814612,West Leland Rd & Sugartree Dr,38.01566,-121.932678
814727,West Leland Rd & Sth Broadway Ave,38.015465,-121.940757
814736,West Leland Rd & Delta Vista Ln,38.015283,-121.939393
814743,West Leland Rd & Chestnut Dr,38.015367,-121.936027
814758,West Leland Rd & Sugartree Dr,38.015513,-121.932173
814762,West Leland Rd & Jacqueline Dr,38.01533,-121.927955
814770,West Leland Rd & Daffodil Dr,38.01468,-121.923945
814791,West Leland Rd & Chestnut Dr,38.015533,-121.93664
814801,East Leland Rd & Homewood Dr,38.009716,-121.881292
814817,Loveridge Rd & Stoneman Ave,38.003042,-121.873006
814829,Loveridge Rd & Ventura Dr,38.000318,-121.874049
814840,Buchanan Rd & Ventura Dr,37.997898,-121.867269
814855,Buchanan Rd & Meadows Ave,37.997889,-121.862938
814903,Verne Roberts Cir & West 10th St,38.011951,-121.841902
814919,Verne Roberts Cir & Crow Ct,38.010333,-121.840487
814961,Century Blvd & Brenden,38.008202,-121.844767
814988,Century Blvd & Brenden,38.007726,-121.844649
815008,Willow Pass Rd & Evora Rd,38.01477,-121.998545
815012,Willow Pass Rd & Evora Rd,38.014513,-121.998609
815016,Pacifica Ave & Harbor Dr,38.033969,-121.968545
815031,Driftwood Dr and Coastview Ct,38.025081,-121.983562
815054,Driftwood Dr & Steffa St,38.030012,-121.978879
815083,Driftwood Dr & Pacifica Ave,38.033897,-121.977882
815096,Pacifica Ave & Shoal Dr,38.033933,-121.974424
815110,Pacifica Ave & Inlet Dr,38.034098,-121.968898
815123,Pacifica Ave & Breaker Dr,38.033961,-121.965717
815134,Pacifica Ave & Canal Dr,38.034087,-121.966032
815147,Port Chicago Hwy & Pacific Ave,38.033691,-121.960591
815168,Kevin Dr & Harvey Wy,38.031626,-121.958174
815199,West Leland Rd & Betty Ln,38.013262,-121.895894
815201,Hillcrest Ave & Deerfield Dr,37.973571,-121.762628
